,view uv,view pv,play pv,play finished pv,total playtime(s),avg view num,avg play num,avg finish num,avg playtime,avg share num,avg like num,avg donwload num,avg comment num,avg video playtime,play rate,finish rate,share rate,like rate,download rate,comment rate,share pv,like pv,download pv,comment pv,20210831 retention,20210831 new user retention
total,14429018.0,827734616.0,651121100.0,337871919.0,11340461563.483,57.36597015819095,45.12580828438914,23.41614093211333,785.948,0.10238728650834035,1.821401775228224,0.20601318814627578,0.1251925806731962,13.701,78.663026%,40.818870%,0.178481%,3.175056%,0.359121%,0.218235%,1477348.0,26281039.0,2972568.0,1806406.0,51.442039%,29.236045%
A_0_499,718209.0,41021561.0,32188063.0,16680423.0,557672265.400,57.116467490660796,44.81712565562392,23.225026419886134,776.476,0.09969242936248363,1.747443989145221,0.19917739822252298,0.12958901935230552,13.595,78.466207%,40.662575%,0.174542%,3.059440%,0.348721%,0.226886%,71600.0,1255030.0,143051.0,93072.0,51.360008%,29.378361%
B_500_999,720280.0,41183255.0,32340576.0,16772147.0,561140833.742,57.176729882823345,44.9000055533959,23.28559310268229,779.059,0.09997223302049203,1.7648969845060254,0.20183539734547676,0.12449741767090576,13.625,78.528460%,40.725647%,0.174848%,3.086740%,0.353003%,0.217741%,72008.0,1271220.0,145378.0,89673.0,51.351065%,29.001591%
C_1000_1499,722460.0,41487476.0,32765728.0,17106048.0,569683836.438,57.42529136561194,45.35299947401932,23.677501868615565,788.533,0.09866290175234615,1.7566979486753591,0.1988013177200122,0.11989175871328517,13.731,78.977395%,41.231836%,0.171811%,3.059101%,0.346191%,0.208779%,71280.0,1269144.0,143626.0,86617.0,51.528442%,29.353253%
D_1500_1999,721116.0,41322976.0,32477522.0,16848548.0,563983623.427,57.30420071111999,45.037860760266035,23.364546064710808,782.098,0.10038745500030508,1.777698733629541,0.20135734056656626,0.13116752367164228,13.648,78.594344%,40.772833%,0.175183%,3.102214%,0.351383%,0.228897%,72391.0,1281927.0,145202.0,94587.0,51.309142%,29.228883%
E_2000_2499,722368.0,41399929.0,32532873.0,16702675.0,570837190.986,57.31141052759812,45.03642603216089,23.1221136595198,790.230,0.10482053468592185,1.861794819261097,0.2133358620536901,0.11846454992469212,13.788,78.581954%,40.344695%,0.182896%,3.248559%,0.372240%,0.206703%,75719.0,1344901.0,154107.0,85575.0,51.376293%,29.333660%
F_2500_2999,720840.0,41256537.0,32459047.0,16694104.0,569090260.662,57.23397286499085,45.02947533433217,23.159236446368126,789.482,0.10253454303312802,1.845243049775262,0.20661727984018646,0.12525803229565508,13.794,78.676131%,40.464143%,0.179150%,3.224035%,0.361005%,0.218853%,73911.0,1330125.0,148938.0,90291.0,51.506529%,29.561693%
G_3000_3499,720365.0,41298761.0,32517611.0,16858067.0,565964548.327,57.33032698701353,45.14046490320879,23.402118370548262,785.664,0.10130281176903376,1.8321545327715811,0.20455602368243878,0.12400380362732781,13.704,78.737498%,40.819789%,0.176700%,3.195786%,0.356802%,0.216297%,72975.0,1319820.0,147355.0,89328.0,51.413729%,29.129800%
H_3500_3999,719047.0,41155430.0,32425023.0,16858881.0,564765529.441,57.236077752914625,45.09444167071137,23.446146079463514,785.436,0.10215187602479393,1.8173763328405514,0.20405481143791712,0.12022997105891547,13.723,78.786743%,40.963929%,0.178475%,3.175229%,0.356514%,0.210060%,73452.0,1306779.0,146725.0,86451.0,51.404544%,29.255889%
I_4000_4499,720081.0,41204415.0,32489213.0,16886911.0,566029872.857,57.2219167010378,45.1188310759484,23.451404772518647,786.064,0.10268844754965066,1.8346061068129835,0.20493805557985836,0.13055614576693456,13.737,78.848864%,40.983256%,0.179456%,3.206125%,0.358146%,0.228158%,73944.0,1321065.0,147572.0,94011.0,51.345173%,28.986673%
J_4500_4999,719350.0,41074228.0,32335397.0,16851968.0,563355809.040,57.099086675470915,44.95085424341419,23.42666017932856,783.146,0.10048794050184194,1.8207465072635018,0.20299297977340655,0.12072704524918329,13.716,78.724296%,41.028082%,0.175989%,3.188749%,0.355510%,0.211434%,72286.0,1309754.0,146023.0,86845.0,51.427000%,29.161414%
K_5000_5499,724138.0,41563969.0,32693864.0,16985644.0,568986690.731,57.39785648591843,45.148665033460475,23.45636328987016,785.743,0.1013895141533796,1.8347690633553273,0.2035330282349497,0.12516674998411906,13.689,78.659148%,40.866270%,0.176643%,3.196581%,0.354600%,0.218069%,73420.0,1328626.0,147386.0,90638.0,51.525947%,29.245502%
L_5500_5999,723255.0,41547384.0,32773772.0,17083431.0,570390256.174,57.44500072588506,45.31426951766666,23.62020449219155,788.643,0.10145107880346489,1.8596345687205758,0.20638917117752384,0.12468354867923485,13.729,78.882877%,41.117946%,0.176606%,3.237244%,0.359281%,0.217049%,73375.0,1344990.0,149272.0,90178.0,51.441653%,29.355301%
M_6000_6499,719896.0,41376671.0,32583739.0,16989316.0,566325013.665,57.475900685654594,45.261730861124384,23.599681065042727,786.676,0.10209669174436307,1.8413229133097002,0.20797865247202374,0.11645709935879626,13.687,78.749059%,41.060133%,0.177634%,3.203643%,0.361854%,0.202619%,73499.0,1325561.0,149723.0,83837.0,51.383252%,29.336500%
N_6500_6999,722450.0,41486728.0,32688916.0,17021078.0,569245436.891,57.42505086857222,45.24730569589591,23.5602159318984,787.937,0.10188663575333932,1.8215447435808707,0.2057083535192747,0.12434078482939996,13.721,78.793671%,41.027767%,0.177425%,3.172039%,0.358221%,0.216527%,73608.0,1315975.0,148614.0,89830.0,51.405757%,29.171040%
O_7000_7499,720513.0,41253890.0,32339824.0,16690709.0,564663288.978,57.256274348970805,44.88444205725643,23.165035190204758,783.696,0.10470595256435346,1.841518473643085,0.2115464953442894,0.12549114311608534,13.688,78.392181%,40.458509%,0.182872%,3.216274%,0.369473%,0.219174%,75442.0,1326838.0,152422.0,90418.0,51.523843%,29.030418%
P_7500_7999,723799.0,41729611.0,32767299.0,16927623.0,572851917.738,57.65359029233254,45.27126868094595,23.387187603188178,791.452,0.10602667315097147,1.8453313696205715,0.21216525582378534,0.1330079207072682,13.728,78.522896%,40.565015%,0.183903%,3.200722%,0.368000%,0.230702%,76742.0,1335649.0,153565.0,96271.0,51.609198%,29.220361%
Q_8000_8499,721387.0,41481558.0,32528465.0,16777411.0,567028211.655,57.50250281748909,45.09155973146175,23.25715739263391,786.025,0.10618849521823931,1.8398626534717148,0.21297999548092772,0.12323759646347938,13.669,78.416691%,40.445470%,0.184668%,3.199622%,0.370384%,0.214317%,76603.0,1327253.0,153641.0,88902.0,51.462680%,29.207004%
R_8500_8999,725679.0,42010216.0,33019919.0,17150994.0,574690561.592,57.89090768783443,45.502100791121144,23.634408602150536,791.935,0.10626874968133293,1.8690991471435718,0.2142930965344181,0.13016636832538905,13.680,78.599736%,40.825770%,0.183567%,3.228658%,0.370167%,0.224848%,77117.0,1356366.0,155508.0,94459.0,51.658112%,29.187880%
S_9000_9499,720258.0,41391799.0,32603860.0,16993551.0,568555597.063,57.468017016124776,45.26691824318508,23.593699757586865,789.378,0.10385028698049865,1.8797902973656662,0.2082989706466294,0.13520432955968556,13.736,78.768888%,41.055357%,0.180710%,3.271020%,0.362461%,0.235269%,74799.0,1353934.0,150029.0,97382.0,51.342558%,29.068552%
T_9500_9999,723527.0,41488222.0,32590389.0,16992390.0,565200818.676,57.34163617943767,45.04377721909479,23.48549535815526,781.174,0.10113928022036496,1.7360540795298587,0.19962074670330202,0.1216830885371244,13.623,78.553352%,40.957142%,0.176380%,3.027563%,0.348125%,0.212207%,73177.0,1256082.0,144431.0,88041.0,51.462643%,29.510109%
